
2022-10-13 22:01:08 | 5 + 8 = 13
2022-10-13 22:01:15 | 13 - 6 = 7
2022-10-13 22:01:19 | 7 * 90 = 630
2022-10-13 22:01:26 | 630 / 78 = 8
2022-10-13 22:01:37 | 8 - 7 = 1
2022-10-13 22:02:21 | 5 + 7 = 12
2022-10-13 22:02:23 | Ошибка ввода данных
2022-10-13 22:02:28 | 12 - 8 = 4
2022-10-13 22:02:30 | Ошибка ввода данных
2022-10-13 22:02:32 | Ошибка ввода данных
2022-10-13 22:02:36 | 4 * 8 = 32
2022-10-13 22:03:38 | РћС€РёР±РєР° РІРІРѕРґР° РґР°РЅРЅС‹С…
2022-10-13 22:06:42 | РћС€РёР±РєР° РІРІРѕРґР° РґР°РЅРЅС‹С…
